sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-2.876;9.006;0.223;0.1622;-0.2818;-0.5988;-0.1053;0.1053;-0.0702;6;2020-06-05 23:06:28:190
-3.452;9.398;-0.162;-0.269;0.1348;-0.6445;0.4035;0.3684;0.0;106;2020-06-05 23:06:28:290
-2.944;9.127;-0.602;0.1525;-0.1777;-0.5366;0.6667;0.2456;0.3158;206;2020-06-05 23:06:28:390
-0.974;8.049;-2.063;1.535;-1.2335;-0.1369;2.0877;2.0877;0.2105;305;2020-06-05 23:06:28:489
-0.313;6.635;-3.199;1.4635;-2.0655;0.9623;3.3158;3.807;-0.1053;406;2020-06-05 23:06:28:590
-0.071;5.176;-10.996;-0.7008;-0.2984;-2.884;4.2807;2.807;-0.8421;506;2020-06-05 23:06:28:690
0.298;4.357;-10.099;-1.4527;1.0016;-1.0521;1.1754;-0.4035;-0.0526;606;2020-06-05 23:06:28:790
0.272;2.646;-7.315;-1.503;0.5064;2.0894;1.5614;0.4561;0.4386;706;2020-06-05 23:06:28:890
0.66;2.387;-9.219;-1.4526;1.4107;0.3075;1.3684;0.4912;0.3509;806;2020-06-05 23:06:28:990
1.8;0.166;-10.425;-0.1422;0.3138;-0.8137;0.7895;-0.2632;0.2807;906;2020-06-05 23:06:29:090
1.492;-0.325;-10.603;-0.1103;0.2761;-0.9468;0.2807;0.1228;-0.8596;1006;2020-06-05 23:06:29:190
2.147;-0.26;-10.967;-0.0581;-0.4119;-1.4127;-0.8772;0.1754;-0.9474;1106;2020-06-05 23:06:29:290
1.678;1.562;-10.834;-0.0287;0.6599;-1.2192;-0.7895;-0.9649;-0.9649;1205;2020-06-05 23:06:29:389
1.157;1.617;-10.348;-0.2513;-0.2515;-0.8246;-0.1053;-0.3333;-0.7544;1306;2020-06-05 23:06:29:490
1.861;1.976;-12.056;0.7352;0.0897;-2.4986;0.193;0.4912;-0.6842;1406;2020-06-05 23:06:29:590
1.561;1.806;-10.673;-0.2724;0.4246;-1.1388;0.7018;0.5789;-0.5263;1506;2020-06-05 23:06:29:690
0.966;1.598;-9.713;-0.7548;0.6674;-0.1035;0.0;-0.9649;-0.614;1606;2020-06-05 23:06:29:790
1.737;1.371;-11.089;0.4759;0.2811;-1.425;-0.0526;1.0351;-0.8246;1706;2020-06-05 23:06:29:890
1.922;1.398;-10.021;0.0735;0.2685;-0.4566;0.2982;0.4386;-1.1404;1806;2020-06-05 23:06:29:990
1.284;1.315;-9.486;-0.6098;0.3895;0.0914;0.7018;-0.4035;-1.5965;1906;2020-06-05 23:06:30:090
1.707;0.129;-10.332;0.2067;-0.5043;-0.6615;0.4035;-0.0702;-1.7018;2006;2020-06-05 23:06:30:190
1.646;-0.402;-9.206;-0.1889;-0.9157;0.4138;0.193;0.7719;-1.4211;2107;2020-06-05 23:06:30:291
1.52;-0.052;-9.056;-0.4535;-0.677;0.5297;-0.1228;-0.7719;-1.2632;2205;2020-06-05 23:06:30:389
1.552;0.712;-9.895;0.3074;-0.0417;-0.1969;0.6316;-0.0702;-1.4737;2305;2020-06-05 23:06:30:489
1.828;0.189;-9.41;0.4913;-0.2615;0.2947;0.3509;0.4035;-1.4035;2406;2020-06-05 23:06:30:590
2.025;0.681;-10.076;0.4037;0.3976;-0.4085;0.4035;0.3509;-1.1228;2506;2020-06-05 23:06:30:690
1.234;0.092;-9.204;-0.0761;-0.1562;0.5116;-0.1579;-1.0702;0.0351;2606;2020-06-05 23:06:30:790
2.166;-1.015;-9.646;0.8494;-1.4566;0.0618;-0.0175;0.7018;-0.6667;2706;2020-06-05 23:06:30:890
1.532;0.032;-9.638;-0.0237;-0.451;0.0324;-0.193;0.0351;-0.386;2806;2020-06-05 23:06:30:990
1.247;0.832;-9.5;-0.0218;-0.043;0.1848;-0.2982;-1.2456;0.0526;2906;2020-06-05 23:06:31:090
