sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.588;9.611;-2.018;0.19078;0.16767;0.22737;0.0;-0.01754;0.0;5;2020-06-05 22:08:28:196
1.399;9.841;-2.183;0.01008;0.39957;0.07548;0.03509;-0.01754;0.01754;105;2020-06-05 22:08:28:296
1.635;9.354;-2.221;0.21193;-0.06813;0.09607;0.07018;-0.03509;0.01754;205;2020-06-05 22:08:28:396
1.733;9.32;-2.394;0.30093;-0.09473;-0.05255;0.0;-0.01754;0.0;305;2020-06-05 22:08:28:496
1.673;9.542;-2.436;0.25818;0.13989;-0.03411;0.12281;0.0;-0.01754;405;2020-06-05 22:08:28:596
1.971;9.032;-2.281;0.55296;-0.32329;0.29545;0.68421;0.14035;-0.01754;505;2020-06-05 22:08:28:696
1.998;7.952;-3.359;0.76068;-0.99715;0.45573;2.08772;0.94737;-0.54386;605;2020-06-05 22:08:28:796
1.166;7.38;-4.465;0.11205;-0.7513;0.91474;2.84211;0.96491;-0.96491;705;2020-06-05 22:08:28:896
0.612;6.651;-7.504;-0.28893;0.14789;-0.2192;1.17544;0.4386;-0.61404;806;2020-06-05 22:08:28:997
0.481;4.975;-8.031;-0.28087;-0.85799;-0.18459;1.2807;0.15789;-0.96491;905;2020-06-05 22:08:29:096
-0.724;4.084;-8.474;-0.85307;-0.5037;0.19242;1.15789;-0.07018;-1.21053;1004;2020-06-05 22:08:29:195
-0.524;4.186;-9.35;-0.39358;0.16102;-0.40836;0.4386;-0.07018;-0.14035;1105;2020-06-05 22:08:29:296
-1.484;3.216;-9.647;-1.05682;-0.09592;-0.42642;0.96491;-0.10526;-0.77193;1205;2020-06-05 22:08:29:396
-0.896;3.174;-11.096;0.12004;0.57105;-1.69586;0.66667;-0.63158;-1.05263;1305;2020-06-05 22:08:29:496
-2.133;1.941;-9.824;-0.72623;-0.24512;-0.36819;0.2807;0.2807;-0.07018;1405;2020-06-05 22:08:29:596
-1.381;1.925;-9.012;-0.25118;0.12488;0.56158;0.75439;0.59649;-0.21053;1505;2020-06-05 22:08:29:696
-0.462;1.249;-10.666;-0.03209;0.29447;-0.91539;0.45614;0.66667;-0.24561;1605;2020-06-05 22:08:29:796
-0.702;-0.043;-12.026;-0.67452;-0.57706;-2.23394;0.52632;0.31579;-0.17544;1705;2020-06-05 22:08:29:896
0.529;-0.855;-12.626;0.3983;-1.31251;-2.8309;-0.14035;-0.64912;0.38596;1805;2020-06-05 22:08:29:996
-0.155;3.545;-10.549;0.31048;3.02342;-0.7673;0.17544;-1.12281;-0.12281;1904;2020-06-05 22:08:30:095
-1.181;1.902;-8.13;-0.27625;1.89738;1.63482;1.01754;0.14035;0.03509;2005;2020-06-05 22:08:30:196
-1.206;2.255;-10.75;-0.13773;2.76245;-1.01492;-0.10526;-0.17544;-0.22807;2105;2020-06-05 22:08:30:296
-1.085;0.594;-9.647;0.25586;0.46637;0.06671;-0.2807;-0.07018;0.45614;2205;2020-06-05 22:08:30:396
-0.124;0.463;-10.077;1.23863;-0.08645;-0.38103;-0.4386;-0.35088;0.36842;2305;2020-06-05 22:08:30:496
-1.727;1.318;-8.455;0.28648;0.48654;1.10665;0.01754;-0.68421;-0.15789;2405;2020-06-05 22:08:30:596
-1.418;-0.216;-8.21;0.93741;-0.96786;1.27985;-0.03509;-0.12281;0.01754;2505;2020-06-05 22:08:30:696
-1.017;0.062;-8.67;1.21605;-0.7766;0.84213;0.03509;0.40351;-0.15789;2605;2020-06-05 22:08:30:796
-1.326;0.191;-8.357;0.74769;-0.42101;1.20833;0.35088;0.2807;-0.47368;2705;2020-06-05 22:08:30:896
